유형,음료명,사이즈,유제품,칼로리 (kcal),당류 (g),단백질 (g),나트륨 (mg),포화지방 (g),카페인 (mg),추천 점수
스타벅스 리프레셔,딸기 아사이 레모네이드 스타벅스 리프레셔,Tall,X,105.0,24.0,1.0,0.0,0.0,30.0,0
스타벅스 리프레셔,딸기 아사이 레모네이드 스타벅스 리프레셔,Grande,X,140.0,32.0,1.0,0.0,0.0,40.0,0
스타벅스 리프레셔,딸기 아사이 레모네이드 스타벅스 리프레셔,Venti,X,170.0,39.0,1.0,0.0,0.0,50.0,0
스타벅스 리프레셔,딸기 아사이 레모네이드 스타벅스 리프레셔,Trenta,X,265.0,62.0,1.0,0.0,0.0,73.0,0
스타벅스 피지오,쿨 라임 피지오,Tall,X,105.0,25.0,0.0,20.0,0.0,110.0,0
스타벅스 피지오,쿨 라임 피지오,Grande,X,130.0,32.0,0.0,25.0,0.0,135.0,0
스타벅스 피지오,쿨 라임 피지오,Venti,X,130.0,32.0,0.0,25.0,0.0,135.0,0
스타벅스 피지오,라이트 핑크 자몽 피지오,Tall,X,70.0,17.0,0.0,0.0,0.0,0.0,0
스타벅스 피지오,라이트 핑크 자몽 피지오,Grande,X,99.0,22.0,1.0,5.0,0.0,0.0,0
스타벅스 피지오,라이트 핑크 자몽 피지오,Venti,X,120.0,27.0,1.0,5.0,0.0,0.0,0
티(티바나),복숭아 아이스 티,Tall,X,110.0,15.0,0.0,35.0,0.0,30.0,0
티(티바나),복숭아 아이스 티,Grande,X,145.0,20.0,0.0,45.0,0.0,40.0,0
티(티바나),복숭아 아이스 티,Venti,X,175.0,24.0,0.0,50.0,0.0,50.0,0
티(티바나),복숭아 아이스 티,Trenta,X,255.0,34.0,1.0,75.0,0.0,70.0,0
티(티바나),복숭아 핫 티,Tall,X,160.0,21.0,0.0,50.0,0.0,70.0,0
티(티바나),복숭아 핫 티,Grande,X,215.0,28.0,1.0,65.0,0.0,70.0,0
티(티바나),복숭아 핫 티,Venti,X,260.0,34.0,1.0,80.0,0.0,70.0,0
티(티바나),레몬 캐모마일 블렌드 티,Tall,X,130.0,30.0,0.0,10.0,0.0,0.0,0
티(티바나),레몬 캐모마일 블렌드 티,Grande,X,175.0,42.0,0.0,10.0,0.0,0.0,0
