유형,음료명,사이즈,유제품,칼로리 (kcal),당류 (g),단백질 (g),나트륨 (mg),포화지방 (g),카페인 (mg)
티(티바나),아이스 스타벅스 클래식 밀크 티,Tall,O,198,21,3,50,9,80
티(티바나),아이스 스타벅스 클래식 밀크 티,Grande,O,270,28,4,70,12,110
티(티바나),아이스 스타벅스 클래식 밀크 티,Venti,O,300,31,5,80,13,120
티(티바나),스타벅스 클래식 밀크 티 보틀,One Size,O,485,51,7,130,21,195
티(티바나),제주 말차 라떼,Short,O,130,12,6,85,3.3,60
티(티바나),제주 말차 라떼,Tall,O,205,20,9,130,5,60
티(티바나),제주 말차 라떼,Grande,O,265,27,11,170,7,90
티(티바나),제주 말차 라떼,Venti,O,360,37,15,230,9,120
티(티바나),아이스 제주 말차 라떼,Tall,O,155,16,6,95,3.6,60
티(티바나),아이스 제주 말차 라떼,Grande,O,210,23,9,120,4.8,90
티(티바나),아이스 제주 말차 라떼,Venti,O,270,30,11,160,6,120
티(티바나),유자 민트 티,Tall,X,140,33,0,10,0,0
티(티바나),유자 민트 티,Grande,X,190,46,0,10,0,0
티(티바나),유자 민트 티,Venti,X,240,60,0,15,0,0
티(티바나),아이스 유자 민트 티,Tall,X,95,22,0,5,0,0
티(티바나),아이스 유자 민트 티,Grande,X,130,31,0,5,0,0
티(티바나),아이스 유자 민트 티,Venti,X,165,39,0,10,0,0
티(티바나),자몽 허니 블랙 티,Short,X,80,19,0,5,0,70
티(티바나),자몽 허니 블랙 티,Tall,X,125,30,0,5,0,70
티(티바나),자몽 허니 블랙 티,Grande,X,175,41,0,5,0,95
티(티바나),자몽 허니 블랙 티,Venti,X,220,52,0,7.1,0,150
티(티바나),아이스 자몽 허니 블랙 티,Tall,X,125,30,0,5,0,30
티(티바나),아이스 자몽 허니 블랙 티,Grande,X,175,41,0,5.7,0,45
티(티바나),아이스 자몽 허니 블랙 티,Venti,X,220,52,0,7.1,0,55
티(티바나),아이스 자몽 허니 블랙 티,Trenta,X,345,79,1,10,0,75
티(티바나),제주 유기농 녹차로 만든 티,Tall,X,0,0,0,0,0,16
티(티바나),제주 유기농 녹차로 만든 티,Venti,X,0,0,0,0,0,32
티(티바나),아이스 제주 유기농 녹차로 만든 티,Tall,X,0,0,0,0,0,16
티(티바나),아이스 제주 유기농 녹차로 만든 티,Venti,X,0,0,0,0,0,32
티(티바나),잉글리쉬 브렉퍼스트 티,Tall,X,0,0,0,0,0,70
티(티바나),잉글리쉬 브렉퍼스트 티,Venti,X,0,0,0,0,0,150
티(티바나),아이스 잉글리쉬 브렉퍼스트 티,Tall,X,0,0,0,0,0,40
티(티바나),아이스 잉글리쉬 브렉퍼스트 티,Venti,X,0,0,0,0,0,115
티(티바나),얼 그레이 티,Tall,X,0,0,0,0,0,70
티(티바나),얼 그레이 티,Venti,X,0,0,0,0,0,120
티(티바나),아이스 얼 그레이 티,Tall,X,0,0,0,0,0,50
티(티바나),아이스 얼 그레이 티,Venti,X,0,0,0,0,0,115
티(티바나),유스베리 티,Tall,X,0,0,0,0,0,20
티(티바나),유스베리 티,Venti,X,0,0,0,0,0,40
티(티바나),아이스 유스베리 티,Tall,X,0,0,0,0,0,20
티(티바나),아이스 유스베리 티,Venti,X,0,0,0,0,0,40
티(티바나),히비스커스 블렌드 티,Tall,X,0,0,0,0,0,0
티(티바나),히비스커스 블렌드 티,Venti,X,0,0,0,0,0,0
티(티바나),아이스 히비스커스 블렌드 티,Tall,X,0,0,0,0,0,0
티(티바나),아이스 히비스커스 블렌드 티,Venti,X,0,0,0,0,0,0
티(티바나),민트 블렌드 티,Tall,X,0,0,0,0,0,0
티(티바나),민트 블렌드 티,Venti,X,0,0,0,0,0,0
티(티바나),아이스 민트 블렌드 티,Tall,X,0,0,0,0,0,0
티(티바나),아이스 민트 블렌드 티,Venti,X,0,0,0,0,0,0
티(티바나),캐모마일 블렌드 티,Tall,X,0,0,0,0,0,0
티(티바나),캐모마일 블렌드 티,Venti,X,0,0,0,0,0,0
티(티바나),아이스 캐모마일 블렌드 티,Tall,X,0,0,0,0,0,0
티(티바나),아이스 캐모마일 블렌드 티,Venti,X,0,0,0,0,0,0
티(티바나),레드 파워 패션 티,Grande,X,190,31,1,40,0,33
기타 제조 음료,스타벅스 딸기 라떼,Tall,O,150,24,3,55,2,0
기타 제조 음료,스타벅스 딸기 라떼,Grande,O,210,36,4,75,2.6,0
기타 제조 음료,스타벅스 딸기 라떼,Venti,O,240,40,5,85,3.1,0
기타 제조 음료,시그니처 핫 초콜릿,Short,O,255,23,8,80,10,10
기타 제조 음료,시그니처 핫 초콜릿,Tall,O,410,39,13,135,15,15
기타 제조 음료,시그니처 핫 초콜릿,Grande,O,540,50,17,180,19,20
기타 제조 음료,시그니처 핫 초콜릿,Venti,O,655,65,21,220,22,25
기타 제조 음료,아이스 시그니처 초콜릿,Tall,O,280,22,8,100,13,15
기타 제조 음료,아이스 시그니처 초콜릿,Grande,O,405,33,12,135,18,20
기타 제조 음료,아이스 시그니처 초콜릿,Venti,O,445,38,13,145,19,25
기타 제조 음료,스팀 우유,Short,O,95,8,6,78,3.5,0
기타 제조 음료,스팀 우유,Tall,O,215,18,13,173,7,0
기타 제조 음료,우유,Short,O,105,8,6,87,3.5,0
기타 제조 음료,우유,Tall,O,240,18,12,200,8,0
스타벅스 주스(병음료),수박 주스 190ML,One Size,X,100,20,1,15,0,0
스타벅스 주스(병음료),스퀴즈드 오렌지 주스 100ML,One Size,X,50,9,1,0,0,0
스타벅스 주스(병음료),딸기주스 190ML,One Size,X,110,25,0,30,0,0
스타벅스 주스(병음료),유기농 오렌지 100% 주스 190ML,One Size,X,95,20,2,5,0,0
스타벅스 주스(병음료),유기농 오렌지 100% 주스 591ML,One Size,X,290,62,6,10,0.6,0
스타벅스 주스(병음료),망고주스 190ML,One Size,X,117,23,1,15,0,0
스타벅스 주스(병음료),ABC 클렌즈 190ML,One Size,X,90,16,1,45,0.1,0
스타벅스 주스(병음료),레몬 진저 클렌즈 190ML,One Size,X,100,16,1,0,0.1,0
스타벅스 주스(병음료),케일 클렌즈 190ML,One Size,X,90,15,1,15,0.2,0
스타벅스 주스(병음료),케일&사과주스 190ML,One Size,X,105,26,0,25,0,0
스타벅스 주스(병음료),한라봉주스 190ML,One Size,X,88,20,1,10,0,0
스타벅스 주스(병음료),햇사과 주스 190ML,One Size,X,113,27,0.2,10,0,0
스타벅스 주스(병음료),햇사과 주스 591ML,One Size,X,360,84,1.3,20,0,0
스타벅스 주스(병음료),딸기 가득 요거트 190ML,One Size,X,155,21,4,50,3.2,0
스타벅스 주스(병음료),블루베리 요거트 190ML,One Size,X,155,18,5,70,3.6,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
